chemical_cid,uniport_accession,score
6946,O16309,0.439
31344,P34455,0.439
3338,P17330,0.439
8301,Q95Q11,0.439
1225,G5ECR8,0.439
9688,P27604,0.439
1678,Q22323,0.439
6594,Q17607,0.439
37768,Q09543,0.439
14360,Q9BL83,0.439
616,P49583,0.439
1678,Q7JP68,0.439
1775,Q9BIB8,0.439
7305,G5EFI1,0.439
61,O62146,0.439
12066,Q20875,0.439
398,O17759,0.439
12894,Q23240,0.439
1238,Q965T4,0.439
61,G5EE78,0.439
6862,Q19202,0.439
3108,O01579,0.439
6228,Q9TZ69,0.439
10444,Q9N2Z7,0.439
6212,P49596,0.439
6613,Q22888,0.439
4006,Q95YD8,0.439
5095,Q95NM6,0.439
190,Q9XUJ7,0.439
1884,A7LPD8,0.439
2459,Q20893,0.439
7894,G5ECQ8,0.439
9250,O76618,0.439
510,P34638,0.439
7955,Q965W3,0.439
2201,Q21274,0.439
14286,Q93338,0.439
2280,D6VPA1,0.439
1093,Q09544,0.439
11929,Q93725,0.439
6278,Q20616,0.439
12699,Q9TZH6,0.439
21470,Q93794,0.439
4735,Q27522,0.439
4541,B7WN66,0.439
261,B1V8A0,0.439
7525,P53795,0.439
5163,Q94045,0.439
5566,Q9XVE5,0.439
5898,Q27526,0.439
12511,G5EFP3,0.439
4033,Q18853,0.439
4173,Q9XU10,0.439
3844,Q22620,0.439
7123,Q93615,0.439
18303,O44836,0.439
4578,O44975,0.439
4754,Q9TXJ8,0.439
2156,A9UJN4,0.439
4817,P90829,0.439
1322,P39745,0.439
10205,G5EBU3,0.439
9246,G5ECX8,0.439
2259,O01498,0.439
6763,Q27492,0.439
7041,Q9N4I4,0.439
4332,O16294,0.439
40926,Q22922,0.439
7187,Q9N5G2,0.439
5333,O18030,0.439
10919,Q9XVU2,0.439
8037,P56570,0.439
5723,Q9XTG7,0.439
1752,Q93714,0.439
11163,Q9U2K8,0.439
17699,O02168,0.439
653,Q10039,0.439
10793,Q20636,0.439
13526,Q965R0,0.439
2230,Q22768,0.439
2341,Q17770,0.439
10255,P52717,0.439
4500,O17626,0.439
11080,O44608,0.439
7839,Q5FC21,0.439
13138,Q22100,0.439
2108,P04970,0.439
7961,Q03577,0.439
3206,P34647,0.439
1489,O45948,0.439
11334,P55954,0.439
7085,G5ECI8,0.439
15910,Q9XU12,0.439
2381,Q966W3,0.439
2763,Q22620,0.439
7833,Q21484,0.439
7833,O76618,0.439
7833,Q21284,0.439
3293,Q9XVR7,0.439
2145,Q9U302,0.439
4629,G5EEQ8,0.439
3125,Q3S1J8,0.439
7814,Q9XVU2,0.439
724,Q22236,0.439
12921,P27604,0.439
2126,Q9N3C9,0.439
7814,P34497,0.439
30751,Q09530,0.439
9679,Q9XTI0,0.439
9679,G5EG93,0.439
6197,Q9TZ33,0.439
7938,Q95Q32,0.439
6616,P91020,0.439
14825,Q95Y73,0.439
3121,P91997,0.439
2108,Q17994,0.439
1148,Q09522,0.439
2767,Q21693,0.439
586,O17470,0.439
3397,Q9U302,0.439
7067,O16521,0.439
2318,O17352,0.439
5918,Q19579,0.439
8554,H2KZF6,0.439
11163,Q09407,0.439
5219,Q19705,0.439
11163,O16368,0.439
4713,Q93353,0.439
6953,Q965X6,0.439
5743,Q20264,0.439
11123,Q10039,0.439
10591,Q93456,0.439
3964,Q95QT7,0.439
7841,P53588,0.439
20285,Q94234,0.439
7341,O44952,0.439
7012,P34652,0.439
19266,P04970,0.439
12318,O16991,0.439
1563,P49632,0.439
11142,P17330,0.439
98,Q22236,0.439
18087,P34409,0.439
2995,O01577,0.439
370,Q93716,0.439
17675,Q8I4K2,0.439
5776,Q9XXD4,0.439
18224,Q9TYU5,0.439
8249,Q93341,0.439
15625,Q8I111,0.439
14888,G5EBF4,0.439
1969,Q8WQF2,0.439
1988,Q9U2C3,0.439
3784,Q17796,0.439
12137,Q9TXT9,0.439
6167,Q09440,0.439
13157,Q9U296,0.439
6257,Q23155,0.439
10680,Q20481,0.439
6719,H2KYI5,0.439
5694,Q17850,0.439
11305,P04970,0.439
5694,O45539,0.439
6569,Q7JKC3,0.439
12251,Q09522,0.439
2770,Q18434,0.439
19003,Q9NA78,0.439
6005,A8WFK6,0.439
7541,P12456,0.439
10553,G5EEG4,0.439
5574,Q9UB00,0.439
6371,O16581,0.439
2196,O44411,0.439
5235,Q93705,0.439
6264,P11141,0.439
8180,Q22031,0.439
15531,O45089,0.439
11105,Q9U2B2,0.439
5757,P52874,0.439
9033,O17004,0.439
4927,P53585,0.439
15395,B7WNA0,0.439
16652,O45903,0.439
15395,Q23089,0.439
10757,P41848,0.439
10757,Q9N4K2,0.439
14823,B5BM46,0.439
4308,Q21917,0.439
4308,O16215,0.439
4308,Q9TZS5,0.439
2187,P51485,0.439
12183,Q93725,0.439
4308,Q22038,0.439
4713,Q2WF65,0.439
7405,Q7JMA9,0.439
15625,Q09490,0.439
3357,Q18938,0.439
3675,Q9UAV5,0.439
6946,P30429,0.439
6300,Q93761,0.439
10667,Q9N4B2,0.439
5697,P09446,0.439
4727,Q93615,0.439
7897,O02286,0.439
14778,Q9TXY8,0.439
414,Q21774,0.439
4780,Q93725,0.438
7833,Q17514,0.438
7020,Q23069,0.438
8152,P22981,0.438
8139,Q9XTY5,0.438
4780,G5ECH7,0.438
4780,Q20507,0.438
11729,Q18688,0.438
6013,Q22143,0.438
3824,P91856,0.438
7428,H2L0B7,0.438
2566,Q22066,0.438
5711,P34369,0.438
5815,C2BR97,0.438
5711,P90789,0.438
5711,Q93615,0.438
3503,Q27874,0.438
3503,Q17383,0.438
2146,Q94300,0.438
6098,O62334,0.438
3844,O44608,0.438
4199,Q17684,0.438
4199,O01427,0.438
6592,Q27522,0.438
33042,P49405,0.438
9064,Q18217,0.438
241,P52715,0.438
1674,Q93794,0.438
4353,Q09522,0.438
14833,B5BM46,0.438
15910,P34512,0.438
14452,O17214,0.438
2719,G5EFF7,0.438
4004,Q4A1S8,0.438
15908,G5EFF7,0.438
4767,Q20140,0.438
10229,Q4R128,0.438
4156,P14585,0.438
3433,Q9XU10,0.438
14101,Q20780,0.438
4485,Q9NAA7,0.438
10118,Q09527,0.438
17513,P55216,0.438
6591,Q23089,0.438
2202,P34574,0.438
2159,Q23089,0.438
5798,P34652,0.438
18343,B4E3X6,0.438
4649,O76618,0.438
3671,Q9NA98,0.438
3213,O44549,0.438
5382,Q23623,0.438
11500,Q17693,0.438
7992,P20163,0.438
8784,O17186,0.438
2141,H2KZJ5,0.438
10401,Q9N4K2,0.438
2141,Q22501,0.438
6755,Q9XVH6,0.438
1049,O61660,0.438
4495,Q93456,0.438
21234,Q18680,0.438
6990,P54412,0.438
4607,P52709,0.438
3585,Q9N5G2,0.438
1380,P41932,0.438
6252,Q18853,0.438
6129,G5EDB7,0.438
1781,Q20779,0.438
30751,Q9BL61,0.438
4594,G5ECM4,0.438
10154,G5EE80,0.438
3017,Q22918,0.438
5584,Q9U307,0.438
3017,P54412,0.438
49,O16116,0.438
9064,P51403,0.438
3017,G5EEG4,0.438
6741,Q9TYP1,0.438
8981,G5ECQ8,0.438
12035,Q9N587,0.438
8204,Q93794,0.438
5581,O16924,0.438
11178,P27715,0.438
398,O01427,0.438
5581,P27420,0.438
13551,Q22143,0.438
47,Q21966,0.438
1229,Q9TZZ9,0.438
1229,G5EFK4,0.438
11439,Q2L6Y6,0.438
17288,Q0MQ68,0.438
6817,Q09979,0.438
10257,P53585,0.438
6817,Q20935,0.438
10257,P90731,0.438
4585,G5EFH4,0.438
9346,Q8T8B9,0.438
5742,Q20414,0.438
2993,O61856,0.438
3009,Q0G843,0.438
18835,P48996,0.438
5337,H2L039,0.438
5337,Q17790,0.438
825,Q07750,0.438
9154,Q9XWV2,0.438
109,G5EDB6,0.438
12810,Q09591,0.438
4788,P28052,0.438
5839,Q19831,0.438
4055,Q9TZI9,0.438
7416,Q22798,0.438
3589,A8WFK6,0.438
12490,Q9XUP3,0.438
5992,P90735,0.438
3599,P32085,0.438
12712,P34409,0.438
5601,O17921,0.438
6134,Q19564,0.438
4026,P34497,0.438
6041,Q9U2E2,0.438
5601,P52275,0.438
6041,O17402,0.438
4652,Q21549,0.438
10219,Q9TXY8,0.438
6098,Q93456,0.438
2876,G5EFD4,0.438
829,P53589,0.438
4912,Q9UB00,0.438
240,Q93168,0.438
2040,Q9XXJ0,0.438
3476,Q10651,0.438
1242,Q9TZZ9,0.438
18196,Q27873,0.438
22318,Q22067,0.438
7897,P41938,0.438
7222,G5ECY0,0.438
5526,P50432,0.438
15376,P12845,0.438
4184,Q9U3C3,0.438
5708,O17850,0.438
16064,Q22230,0.438
5708,Q22031,0.438
16699,Q21702,0.438
6058,Q17525,0.438
16749,Q21752,0.438
1464,Q19626,0.438
1464,O45087,0.438
1774,Q18483,0.438
40926,Q18678,0.438
10005,Q19766,0.438
1345,O44549,0.438
18282,P41931,0.438
13804,O01583,0.438
2459,P49632,0.438
7028,Q17770,0.438
1196,Q9XUP4,0.438
7028,P91189,0.438
9756,Q18031,0.438
5235,G5ECE8,0.438
2361,O62215,0.438
5413,A9UJN4,0.438
736,Q94187,0.438
3454,O16297,0.438
6468,P91020,0.438
1775,Q17850,0.438
13966,Q95PZ8,0.438
6223,O16264,0.438
18282,Q22230,0.438
15184,A8WFI7,0.438
15184,P49632,0.438
7012,Q93572,0.438
1107,Q9N501,0.438
15184,G5EDN1,0.438
2178,G5ECH0,0.438
11463,P49958,0.438
1044,G5EG04,0.438
7028,Q9N426,0.438
11292,Q18990,0.438
12694,P46561,0.438
10705,Q19683,0.438
6432,Q4TT88,0.438
4296,G5EEG4,0.438
11333,O01602,0.438
11952,P91851,0.438
2796,O16214,0.438
3414,Q09510,0.438
8331,Q9BKW4,0.438
7842,P50306,0.438
7347,Q965Q1,0.438
5014,Q9U2Q8,0.438
9257,Q21549,0.438
10205,Q19605,0.438
8180,O61902,0.438
7439,Q93619,0.438
3009,Q20935,0.438
2349,O44568,0.438
292,Q6AHQ8,0.438
6755,Q9U2U0,0.438
8803,P34275,0.438
20483,Q22053,0.438
12531,Q9N3T2,0.438
3043,Q9U357,0.438
12558,Q19360,0.438
9210,Q8MXF1,0.438
4644,Q9NAF8,0.438
4996,P16356,0.438
9253,O17004,0.438
984,Q22236,0.438
3840,Q9BL56,0.438
5952,Q18411,0.438
6629,Q23457,0.438
10466,Q23261,0.438
3830,Q20100,0.438
3821,O61709,0.438
16758,G5EC31,0.438
4942,B7FAS8,0.438
30751,O44781,0.438
7923,Q9U307,0.438
2327,Q95QD6,0.438
12463,Q18680,0.438
9033,Q10664,0.438
10919,Q93761,0.438
18064,Q9GZF3,0.438
4416,Q22501,0.438
1672,O45011,0.438
3373,Q22053,0.438
9880,G5EDH8,0.438
7076,Q18621,0.438
4286,Q21750,0.438
11790,P54811,0.438
2997,G5EGA6,0.438
17451,G5EFA2,0.438
2441,Q9TYV5,0.438
12961,P52275,0.438
20806,Q9XXK1,0.438
9001,Q18483,0.438
10602,P39745,0.438
10509,Q19825,0.438
15787,P91425,0.438
6180,Q8T8B9,0.438
4461,Q17556,0.438
9550,Q20048,0.438
7390,Q9NA32,0.438
8221,Q21481,0.438
1166,Q95XR0,0.438
14801,Q09525,0.438
20992,Q20616,0.438
7150,P30635,0.438
2214,Q93168,0.438
16043,Q9U283,0.438
7248,Q19722,0.438
12066,Q9XUN8,0.438
4908,G5EBY3,0.438
2336,O17939,0.438
4331,Q20390,0.438
8456,Q22347,0.438
7758,Q21926,0.438
2472,Q20781,0.438
4257,Q21824,0.438
5833,Q20624,0.438
8110,Q95Y25,0.438
4057,Q8MYL7,0.438
7406,Q9U296,0.438
2758,P54936,0.438
3043,P48996,0.438
5961,Q95Q35,0.438
3394,P12844,0.438
3220,Q18511,0.438
1752,B7FAS8,0.438
1752,O16520,0.438
3220,Q8WQA8,0.438
3969,Q21962,0.438
6830,O01583,0.438
8221,P16356,0.438
864,Q9U3C8,0.438
1245,Q9TW67,0.438
6870,Q9TYP1,0.438
14003,O02089,0.438
14003,Q09397,0.438
2750,Q21966,0.438
4282,Q9XUS5,0.438
7311,P34650,0.438
16183,Q9TXR4,0.438
4891,O02225,0.438
855,Q93971,0.438
3463,Q09996,0.438
5901,Q95ZQ4,0.438
1420,Q9TXY8,0.438
11164,G5ECV9,0.438
4938,Q21966,0.438
16590,Q93572,0.438
11265,Q94055,0.438
4516,P54412,0.438
13831,Q10457,0.438
15376,Q22307,0.438
8566,Q09433,0.438
3467,Q20758,0.438
7099,P34275,0.438
20667,Q9U1Q4,0.438
2148,Q19087,0.438
7196,Q93169,0.438
1697,O02058,0.438
11292,Q21215,0.438
7950,Q17761,0.438
9589,P52874,0.438
10701,Q19133,0.438
12163,P34559,0.438
10232,O45552,0.438
4054,G5EG43,0.438
5870,P90829,0.438
3080,P12845,0.438
6950,Q95XN1,0.438
5291,Q09474,0.438
8343,G5EFX6,0.438
4171,Q9XX15,0.438
9047,Q17557,0.438
5894,G5EG43,0.438
13436,Q93341,0.438
3074,Q9XW16,0.438
7314,Q20352,0.438
17112,Q10454,0.438
13289,O44997,0.438
2058,O18158,0.438
2474,Q0G819,0.438
764,Q10654,0.438
4480,Q03563,0.438
1615,G5EDN1,0.438
5215,A9D2X7,0.438
5995,Q21323,0.438
15415,Q18026,0.438
5083,Q20758,0.438
699,Q9TZA0,0.438
5083,G5EFC1,0.438
5566,O61667,0.438
1233,G5EDC6,0.438
5382,P17330,0.438
13836,Q19440,0.438
5382,P17329,0.438
178,O45451,0.438
9577,Q22100,0.438
5917,P52017,0.438
13838,Q17525,0.438
8479,Q22492,0.438
4585,Q95QV3,0.438
10901,Q9NEZ8,0.438
4740,Q9NAN1,0.438
10435,Q9XVU2,0.438
8082,Q17556,0.438
7871,Q23623,0.438
7871,P09446,0.438
4233,G5EDY2,0.438
20676,Q23490,0.438
7871,Q20375,0.438
14421,G5EGE3,0.438
7970,O01607,0.438
16043,O18276,0.438
7504,Q9TZS5,0.438
899,Q23068,0.438
8559,P90994,0.438
5092,Q19680,0.438
4610,P22981,0.438
14273,Q21752,0.438
7541,Q18683,0.438
10241,G5ED07,0.438
1641,Q9U2M5,0.438
10793,Q21824,0.438
6742,Q9U302,0.438
16866,Q7JMA9,0.438
6590,Q21029,0.438
6954,Q18993,0.438
13450,O61847,0.438
7432,O17695,0.438
4778,Q53U87,0.438
5808,Q18846,0.438
9128,Q93934,0.438
4942,Q9GZI3,0.438
13886,Q19440,0.438
10255,Q19605,0.438
5899,Q95Y12,0.438
5537,Q19440,0.438
9250,Q21080,0.438
13886,Q93934,0.438
6574,P34649,0.438
10230,Q9XW61,0.438
12206,Q7Z003,0.438
30751,P46502,0.438
10379,Q9BL07,0.438
15522,Q22101,0.438
1348,Q9GYT0,0.438
1238,O44512,0.438
3082,Q9TZC4,0.438
6245,Q9N2W9,0.438
2915,P91270,0.438
11734,O62334,0.438
5978,Q20077,0.438
7040,Q9N5U1,0.438
2329,Q45FX5,0.438
5745,Q17898,0.438
6537,Q9XUW5,0.438
991,G5EEA8,0.438
9257,A5JYX3,0.438
8761,P52017,0.438
18165,G5EDM5,0.438
12397,Q9N3T2,0.438
4673,Q9TXV7,0.438
3194,Q9N5C0,0.438
8697,Q27873,0.438
3637,O62422,0.438
2912,Q9N2Z7,0.438
843,G5EE47,0.438
10243,P91427,0.438
10039,Q18217,0.438
8209,Q93934,0.438
9415,P20163,0.438
4735,P50305,0.438
13551,O01598,0.438
17732,O02640,0.438
14300,Q9XVU2,0.438
4004,Q95NM6,0.438
13130,O16521,0.438
13462,G5EEN6,0.438
7220,Q7KX00,0.438
6741,O16991,0.438
8718,Q20935,0.438
9934,G5EC71,0.438
7766,Q09996,0.438
10582,Q19133,0.438
8686,O62251,0.438
3463,Q9XWH0,0.438
10932,G5EDR3,0.438
1011,Q21276,0.438
5199,Q93167,0.438
8892,Q17361,0.438
3838,H2KYX3,0.438
916,B7WN66,0.438
11050,P91425,0.438
855,G5EBF4,0.438
2123,Q8ITY4,0.438
1483,P34545,0.438
28015,G5ECB2,0.438
14978,O44410,0.438
10904,P52275,0.438
10904,O17921,0.438
5202,O16259,0.438
17318,Q9U2F2,0.438
5781,Q9Y0V6,0.438
5426,B7WNA0,0.438
4594,Q22307,0.438
14421,G5ECY2,0.438
5595,P91427,0.438
7308,Q19048,0.438
7909,P41937,0.438
7270,B7WNA0,0.438
663,H2KZY5,0.438
2527,P34545,0.438
5192,Q20375,0.438
1862,P51875,0.438
9032,O16720,0.438
1992,Q93619,0.438
992,Q9XVQ9,0.437
7305,O61741,0.437
2780,Q19102,0.437
3515,P50140,0.437
10206,Q21215,0.437
10111,Q9U2Z5,0.437
6113,G5EEH6,0.437
8103,Q93725,0.437
8103,G5EF83,0.437
6113,Q9XXD4,0.437
13619,O02621,0.437
8515,Q18596,0.437
15322,Q9TZ93,0.437
15097,Q17474,0.437
263,Q95PZ8,0.437
21218,Q21832,0.437
8469,Q9NAB0,0.437
8469,Q9NAB3,0.437
8469,Q93696,0.437
8469,Q9NAB4,0.437
6723,Q19683,0.437
8469,Q19246,0.437
8469,Q93695,0.437
8469,O45115,0.437
8469,Q21693,0.437
8469,Q9NAB1,0.437
9800,O17966,0.437
9700,O44712,0.437
6867,Q09433,0.437
6496,Q21219,0.437
8881,P49713,0.437
5742,Q94148,0.437
7666,Q9U2K8,0.437
937,Q95QV8,0.437
13651,Q965X6,0.437
8037,Q09544,0.437
13494,Q23490,0.437
2935,O44549,0.437
5743,P46769,0.437
3348,Q21795,0.437
18224,Q9BKQ5,0.437
2866,G5EFI1,0.437
8892,P34647,0.437
32743,Q17994,0.437
10638,Q17574,0.437
3338,P53588,0.437
941,Q95QV8,0.437
7894,Q18426,0.437
172,P34497,0.437
7187,Q1EPL7,0.437
5171,Q9BLB5,0.437
2265,O61741,0.437
24408,P34462,0.437
753,O17470,0.437
1947,Q19207,0.437
4947,Q21736,0.437
7148,Q27492,0.437
6568,P90831,0.437
2341,Q93794,0.437
3822,O44857,0.437
11914,Q21554,0.437
5784,B5BM27,0.437
2763,Q8MXV8,0.437
992,O17365,0.437
7849,Q564Q1,0.437
3902,Q23126,0.437
732,Q9U3P0,0.437
9756,Q9GYS8,0.437
6329,Q9N501,0.437
3549,O44739,0.437
3102,Q23146,0.437
3102,P47209,0.437
14982,Q22620,0.437
4195,Q8WQA8,0.437
11197,Q21750,0.437
4871,Q968Y9,0.437
5029,Q8MXI4,0.437
30751,Q93725,0.437
10255,P34389,0.437
12127,Q9U296,0.437
12580,Q9TXM0,0.437
2141,Q23202,0.437
311,G5ECJ0,0.437
10214,P28051,0.437
3747,O18180,0.437
2769,O45815,0.437
10621,Q9N478,0.437
1338,Q21795,0.437
5238,Q8WQF2,0.437
1673,P30429,0.437
5011,P91907,0.437
7897,Q20676,0.437
5360,Q22630,0.437
12584,H2KYI5,0.437
99,H2KYP2,0.437
21090,Q9Y041,0.437
2451,O02637,0.437
3016,Q02332,0.437
2955,P22981,0.437
7148,Q9GZI3,0.437
7841,Q9XXI9,0.437
1982,P49632,0.437
8259,P34346,0.437
16023,Q9U3K2,0.437
6167,O17850,0.437
9039,Q9N4F3,0.437
3949,P32756,0.437
12674,Q09996,0.437
5235,Q9GYJ1,0.437
4875,Q19546,0.437
5189,Q93615,0.437
21704,Q93454,0.437
10522,P48996,0.437
5781,G5EC10,0.437
299,G5EGM1,0.437
663,P49713,0.437
6046,Q4TTB1,0.437
7737,Q23588,0.437
18827,Q23451,0.437
3542,O02300,0.437
7669,Q93456,0.437
6675,Q9NA91,0.437
3043,Q9BL07,0.437
8030,Q9U2Q9,0.437
5004,Q09580,0.437
18058,Q7JKC3,0.437
1089,P34647,0.437
10972,G5EDB7,0.437
6755,O45011,0.437
14227,Q9TZ93,0.437
14823,Q93705,0.437
1893,Q9N3S7,0.437
3844,P34580,0.437
3671,Q10654,0.437
15792,G5EEY5,0.437
2992,Q02332,0.437
6549,Q9XXD4,0.437
11163,Q05062,0.437
11163,Q09660,0.437
11163,O01803,0.437
11163,G5EG96,0.437
3499,Q9NA98,0.437
3136,P34331,0.437
8030,Q9XVE5,0.437
10401,B3GWC3,0.437
4564,O16299,0.437
8370,Q20993,0.437
6035,Q20641,0.437
1329,Q9BL44,0.437
7348,G5EEY5,0.437
7348,Q95YF3,0.437
7492,O61199,0.437
13482,Q9TW67,0.437
9256,Q93794,0.437
7492,O61235,0.437
6197,Q23195,0.437
4753,Q09545,0.437
16757,P34385,0.437
755,Q20143,0.437
3467,Q22918,0.437
9782,Q17770,0.437
6191,P46561,0.437
10997,G5EC40,0.437
13698,Q22307,0.437
10459,P32756,0.437
10238,P28051,0.437
7412,Q21086,0.437
8272,H2L039,0.437
2300,P46561,0.437
3585,Q23431,0.437
12066,G5EBF4,0.437
9864,Q9N537,0.437
3585,O16969,0.437
7311,Q17533,0.437
13521,P34559,0.437
3585,Q1EPL7,0.437
5403,Q21501,0.437
18835,Q95QV3,0.437
7018,P91060,0.437
3110,O44549,0.437
875,O16720,0.437
12313,Q21217,0.437
10994,Q95ZN7,0.437
10239,Q02332,0.437
9048,Q18621,0.437
7540,Q20751,0.437
4754,Q22922,0.437
5794,G5EBH0,0.437
3385,O16720,0.437
1204,Q9TZC4,0.437
421,G5EG58,0.437
8547,Q22031,0.437
5565,H2KZJ5,0.437
8765,Q9N5C0,0.437
9062,O45876,0.437
15325,Q11179,0.437
1043,Q9XUP4,0.437
10663,Q8I4E2,0.437
206,Q95PW9,0.437
3386,Q22101,0.437
19878,H2KYJ9,0.437
791,Q22492,0.437
3686,G5EEI8,0.437
7992,P27420,0.437
11833,Q8T8B9,0.437
7992,Q19130,0.437
4581,Q20481,0.437
10239,Q19683,0.437
5569,O18650,0.437
18344,Q966W3,0.437
5569,Q8WQA8,0.437
7758,Q17446,0.437
10635,P41958,0.437
8892,O62332,0.437
5744,Q9XU12,0.437
7758,Q17770,0.437
12137,Q9BMK9,0.437
1679,P90829,0.437
5770,O61198,0.437
10983,Q9N588,0.437
4650,Q9N5D3,0.437
2818,Q9XW63,0.437
2272,P34559,0.437
6379,Q22918,0.437
16474,Q09591,0.437
14792,O01813,0.437
8180,P34647,0.437
18518,Q17994,0.437
7762,Q21086,0.437
2333,Q22716,0.437
3624,Q21966,0.437
17961,Q09533,0.437
14421,Q9XWF1,0.437
7239,Q9XXM2,0.437
3017,P34685,0.437
2726,P54811,0.437
21327,Q21614,0.437
6293,O02161,0.437
11729,P53588,0.437
13002,Q9U2Z1,0.437
2984,H2KYP2,0.437
7238,Q19699,0.437
3035,O45552,0.437
7838,Q93615,0.437
6578,O45865,0.437
15818,O16890,0.437
4906,Q2YS41,0.437
7238,Q19130,0.437
2058,Q9N3Z3,0.437
6098,Q9XWF2,0.437
2196,Q22070,0.437
2993,Q7KX00,0.437
11103,P34610,0.437
11727,Q9N5E4,0.437
2396,Q93569,0.437
7104,Q10663,0.437
4780,Q09522,0.437
7732,Q09603,0.437
7340,P32085,0.437
8681,Q17898,0.437
3686,Q9U2Q8,0.437
8141,P34652,0.437
13015,Q9TYU5,0.437
5083,Q18217,0.437
5944,Q10454,0.437
4516,P46769,0.437
2995,G5EFY1,0.437
14025,B5BM27,0.437
3464,Q95XY8,0.437
13643,Q27535,0.437
5804,Q9BIA9,0.437
5958,Q17868,0.437
12699,Q966I8,0.437
5958,O01501,0.437
13401,O01590,0.437
6885,Q21338,0.437
4174,P34275,0.437
1127,O62332,0.437
2753,Q19058,0.437
9250,Q22230,0.437
5708,Q8WQG9,0.437
601,Q27874,0.437
3171,P04970,0.437
9864,Q18993,0.437
33576,O01789,0.437
15376,P02567,0.437
14816,Q17525,0.437
10705,Q94360,0.437
8149,Q94392,0.437
11461,Q19207,0.437
7897,Q7JNG1,0.437
7111,P27798,0.437
398,Q22633,0.437
6423,Q19537,0.437
10439,Q9N5B3,0.437
11931,Q09580,0.437
6371,Q09523,0.437
11199,Q09531,0.437
6032,Q93705,0.437
10328,Q09996,0.437
10111,Q22392,0.437
5587,G5EFT4,0.437
4757,P91025,0.437
15910,Q17449,0.437
2214,Q19265,0.437
7443,Q9XUV0,0.437
3007,O62102,0.437
15787,O44512,0.437
1089,Q23356,0.437
5995,Q8I4E2,0.437
13916,O45865,0.437
3372,Q9NDC9,0.437
4592,Q9NHC3,0.437
3608,O45709,0.437
6854,P91425,0.437
190,H2KY93,0.437
3198,O01602,0.437
18718,Q21323,0.437
12550,Q09629,0.437
6223,Q20100,0.437
6688,Q7Z1Q3,0.437
20483,Q9U3P0,0.437
7047,G5EFY1,0.437
12008,Q27504,0.437
5340,Q9U307,0.437
14982,Q9BL79,0.437
19284,Q9GYS8,0.437
276,Q95NM6,0.437
4607,Q95005,0.437
14101,Q20122,0.437
6661,A1IMB8,0.437
3806,Q9XV04,0.437
1672,Q22768,0.437
7594,P54936,0.437
3184,O44183,0.437
3017,Q9XX15,0.437
8974,P54871,0.437
5425,Q95NM6,0.437
4942,Q9N5U8,0.437
8789,O17610,0.437
2566,O18210,0.437
7411,G5EFT4,0.437
12313,G5ECM6,0.437
3045,O16284,0.437
791,H2KYT9,0.437
11197,H2L039,0.437
10893,Q18885,0.437
40926,Q8MYL7,0.437
6,P46577,0.437
7897,Q27535,0.437
2108,Q19130,0.437
10663,P49595,0.437
1564,G5ECJ6,0.437
2317,Q93934,0.437
14342,Q7JMA9,0.437
6899,Q95Q11,0.437
5736,Q2WF65,0.437
18730,Q9N3B0,0.437
2997,Q17383,0.437
16035,Q23240,0.437
5541,Q22066,0.437
16315,Q9BKW4,0.437
466,O17610,0.437
6817,P90917,0.437
8530,P92199,0.437
7762,Q21752,0.437
18467,Q93576,0.437
262,Q95NM6,0.437
41322,Q94300,0.437
240,Q20393,0.437
15352,Q9U302,0.437
5164,G5EF86,0.437
4652,P34346,0.437
73,P04970,0.437
2603,O17583,0.437
4913,P90831,0.437
3547,Q65CM5,0.437
15778,O16521,0.437
73,O01815,0.437
6613,Q09980,0.437
7994,O44408,0.437
14769,Q9Y194,0.437
7994,Q19722,0.437
7994,Q09433,0.437
7289,O01814,0.437
6369,P03949,0.437
14769,Q9UAV3,0.437
14769,Q17557,0.437
1835,Q9NAF8,0.437
12540,Q9XXD8,0.437
14332,Q21217,0.437
3496,Q20358,0.437
2016,B3GWC3,0.437
6278,Q21224,0.437
5035,Q9GUF5,0.437
11254,Q9XVR7,0.437
3035,Q9TZA0,0.437
8642,P48150,0.437
3961,Q93705,0.437
2267,P48152,0.437
2832,Q7YTI0,0.437
6041,Q10944,0.437
7541,P52275,0.437
7541,O17921,0.437
10118,Q19825,0.437
1645,O45502,0.437
3672,Q304D5,0.437
1366,Q94125,0.437
16758,P34460,0.437
1238,O16999,0.437
3894,Q21224,0.437
4098,P46577,0.437
3559,Q9U299,0.437
7024,O62215,0.437
2944,O17966,0.437
2726,Q9XWZ3,0.437
4624,H2KYW1,0.437
14360,Q19699,0.437
12130,A9D2X7,0.437
3121,P92186,0.437
4075,Q9TXY8,0.437
2330,P91079,0.437
1674,P34712,0.437
10531,O17850,0.437
10205,Q9U2M5,0.437
10907,Q8WQF2,0.437
1243,Q09522,0.437
5727,Q8I4D7,0.437
6758,Q09531,0.437
10206,Q9U2M5,0.437
20824,Q21463,0.437
5452,Q9N5B3,0.437
16556,Q9XVJ2,0.437
9677,P53014,0.437
9677,P27604,0.437
1079,P45894,0.437
2915,Q9XVS1,0.437
6223,Q21774,0.437
3397,Q93934,0.437
7051,P34630,0.437
5614,P02567,0.437
6514,Q17688,0.437
15184,Q23146,0.437
5983,Q19680,0.437
28015,O45352,0.437
4552,Q9XU10,0.437
40926,O61235,0.437
9215,P34690,0.437
2336,B1V8J4,0.437
19232,Q22922,0.437
9215,P34286,0.437
14481,P34346,0.437
6832,O01661,0.437
